=ANTLR=

Symbol	Description
(...)	подпрвило
(...)*	повторение подправила 0 или более раз
(...)+	Повторение подправила 1 или более раз
(...)?	подправило, может отсутствовать
{...}	семантические действия (на языке, использующемся в качестве выходного, напр. Java)
[...]	параметры правила
{...}?	Semantic predicate(см. ниже)
(...)=>	Syntactic predicate(см ниже)
|	оператор альтернативы
..	оператор диапазона
~	отрицание
.	любой символ
=	присвоение
:	метка, начало правила
;	конец правила
'(' вставка символа: (
class	класс грамматики
extends	определяет базовый класс для грамматики
returns	описание возвращаемого значения для правила
options	секция опций
tokens	секция токенов
header	заголовок
